1;"господи , насколько легче буриданову ослу было выбирать между двумя охапками сена , чем нам между четырьмя лоханями с помоями !";1
2;"в конкурсе детских рисунков на асфальте победил Серёжа , нарисовавший круг . остальных участников забрал вий .";2
3;"после часа езды с блондинкой навигатор спросил : - бля - я - я - я . . . ну и где мы сейчас находимся ?";1
6;"в Москве начался месячник чистый автомобиль , но так и не начался хотя бы денек чистые дороги .";2
8;"в Голливуде вы можете лежать на песке и смотреть на звезды . или наоборот .";2
9;"официальный думский корреспондент НТВ света ( из иванова ) курицина на бис 17 раз брала интервью у валуева .";1
10;"с развитием в России нанотехнологий , каждый житель страны к 2010 году бесплатно получит по наноквартире !";2
18;"российских дипломатов из США высылают в ответ на высылку американских дипломатов из алеппо .";1
23;"а ведь ещё совсем недавно выражение клава наебнулась означало совсем другое .";2
24;"думал , умер и попал в ад ! ан нет , эт просто погода такая !";1
27;"пара резиновых подошв и кучка пепла , пытались украсть высоковольтный кабель .";2
30;"из брачного объявления : требования к мужчине : нежный , утончённый , добрый , не курящий , интеллектуальный , сексуальный , с юмором , красивый , стройный , верный , хозяйственный , обожающий детей . миллионерам - скидка 100 % ! .";0
33;"справедливость - это когда всем достается поровну , а тебе - чуть больше .";1
34;"в полном соответствии с древним принципом кому выгодно , в новом романе Донцовой во всех убийствах оказались виноваты могильщики .";1
36;"никто не знает в какой компании застрахован фобос - грунт на $ 1 . 5 млрд ? осагу у этой конторы покупать бессмыслено";1
37;"все более популярной становится передача : пошел бы нах весь этот телевизор .";2
46;"сотрудникам Газпрома разрешают фотографироваться на паспорт с улыбкой .";1
50;"судя по ценам на горячую воду , её мы тоже импортируем из Финляндии";1
53;"хитроумный компьютер во время шахматного матча с гроссмейстером крамником , когда попадал в трудное положение , выводил на экран видео с порносайта .";1
57;"чтобы в лесу узнать , где юг , надо посмотреть на дерево . если дерево - пальма , то юг уже тут .";1
58;"-пиздец , это покруче медведей с самоварами и водки : на центральной улице Красноярска в глубокой луже утонул маршрутный автобус";1
62;"на месте очередного падения протона опять нашли визитку яроша .";1
68;"-почему черепашки ниндзя всегда нападают вчетвером на одного ? - потому что у них учитель крыса .";2
71;"если вы проснулись утром и вам не надо вставать , значит вы спали стоя .";2
79;"в «тучные годы» россияне сильно разжирели на крошках , интенсивно летевших с барского стола .";2
83;"завещание билла Гейтса ежемесячно автоматически обновляется .";1
101;"революция в генной инженерии ! первый удачный опыт соединения животного и растения - селедка с луком .";2
105;"столько работы , заявление на увольнение некогда написать !";1
113;"Янукович умудрился даже в название коалиции вставить слова противоречащие друг другу : «стабильность и реформы» .";2
123;"— настенька , замуж хочешь ? — иванушка , хватит мне угрожать .";0,2
136;"если тебе говорят - а мне насрать ! насрите ему , просит ведь человек .";2
140;"собираюсь на исповедь . столько грехов накопилось - приятно вспомнить .";2
142;"в Иркутске вырастили 500 голов скота , совершенно забыв про их туловища .";2
156;"только рассмешить удалось ивану - дураку царевну - лесбияну .";0
165;"считают дурой ? перекрась волосы в белый и живи спокойно ! ! !";1
